UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15324133     PULS   1824 
     15324135     PULS   1836 
     15324137     PULS   1836 
     15324139     PULS   1848 
     15324141     PULS   1860 
     15324143     PULS   1871 
     15324145     PULS   1871 
     15324147     PULS   1895 
     15324149     PULS   1907 
     15324151     PULS   1907 
     15324153     PULS   1918 
     15324155     PULS   1907 
     15324157     PULS   1907 
     15324159     PULS   1907 
     15324161     PULS   1895 
     15324163     PULS   1895 
     15324165     PULS   1895 
     15324167     PULS   1895 
     15324169     PULS   1907 
     15324171     PULS   1907 
     15324173     PULS   1907 
     15324175     PULS   1907 
     15324177     PULS   1907 
     15324179     PULS   1907 
     15324181     PULS   1918 
     15324183     PULS   1918 
     15324185     PULS   1907 
     15324187     PULS   1907 
     15324189     PULS   1895 
     15324191     PULS   1871 
     15324193     PULS   1871 
     15324195     PULS   1871 
     15324197     PULS   1883 
     15324199     PULS   1907 
     15324201     PULS   1918 
     15324203     PULS   1954 
     15324205     PULS   1965 
     15324207     PULS   1977 
     15324209     PULS   1977 
     15324211     PULS   1989 
     15324213     PULS   1977 
     15324215     PULS   1965 
     15324217     PULS   1954 
     15324219     PULS   1930 
     15324221     PULS   1907 
     15324223     PULS   1871 
     15324225     PULS   1836 
     15324227     PULS   1813 
     15324229     PULS   1801 
     15324231     PULS   1801 
     15324233     PULS   1813 
     15324235     PULS   1836 
     15324237     PULS   1871 
     15324239     PULS   1895 
     15324241     PULS   1918 
     15324243     PULS   1942 
     15324245     PULS   1954 
     15324247     PULS   1954 
     15324249     PULS   1942 
     15324251     PULS   1918 
     15324253     PULS   1895 
     15324255     PULS   1860 
     15324257     PULS   1824 
     15324259     PULS   1777 
     15324261     PULS   1742 
     15324263     PULS   1707 
     15324265     PULS   1683 
     15324267     PULS   1695 
     15324269     PULS   1707 
     15324271     PULS   1730 
     15324273     PULS   1754 
     15324275     PULS   1789 
     15324277     PULS   1813 
     15324279     PULS   1824 
     15324281     PULS   1824 
     15324283     PULS   1836 
     15324285     PULS   1824 
     15324287     PULS   1836 
     15324289     PULS   1824 
     15324291     PULS   1824 
     15324293     PULS   1813 
     15324295     PULS   1801 
     15324297     PULS   1789 
     15324299     PULS   1777 
     15324301     PULS   1754 
     15324303     PULS   1730 
     15324305     PULS   1707 
     15324307     PULS   1683 
     15324309     PULS   1672 
     15324311     PULS   1672 
     15324313     PULS   1660 
     15324315     PULS   1660 
     15324317     PULS   1648 
     15324319     PULS   1648 
     15324321     PULS   1660 
     15324323     PULS   1660 
     15324325     PULS   1672 
     15324327     PULS   1683 
     15324329     PULS   1683 
     15324331     PULS   1695 
